rank,journal,n_pub,total_citations,avg_citations,year_first,year_last,if_2024,jcr_quartile,category,notes
1,JOURNAL OF ETHNOPHARMACOLOGY,682,20152,29.5,2005,2026,4.8,Q1,INTEGRATIVE & COMPLEMENTARY MEDICINE,
2,FRONTIERS IN PHARMACOLOGY,249,6276,25.2,2011,2026,4.4,Q1,PHARMACOLOGY & PHARMACY,
3,PHYTOMEDICINE,205,6720,32.8,2005,2026,6.7,Q1,PHARMACOLOGY & PHARMACY,
4,EVIDENCE-BASED COMPLEMENTARY AND ALTERNATIVE MEDICINE,177,3979,22.5,2005,2022,,,,Discontinued in 2023
5,JOURNAL OF PHARMACEUTICAL AND BIOMEDICAL ANALYSIS,176,3839,21.8,2006,2026,3.1,Q2,"CHEMISTRY, ANALYTICAL",
6,BIOMEDICAL CHROMATOGRAPHY,161,1860,11.6,2006,2026,1.8,Q4,"CHEMISTRY, ANALYTICAL",
7,PHYTOTHERAPY RESEARCH,152,8672,57.1,2005,2026,6.1,Q1,"CHEMISTRY, MEDICINAL",
8,PLANTA MEDICA,135,4329,32.1,2005,2026,2.1,Q2,INTEGRATIVE & COMPLEMENTARY MEDICINE,
9,CURRENT DRUG METABOLISM,120,3498,29.1,2006,2026,2.1,Q3,PHARMACOLOGY & PHARMACY,
10,MOLECULES,111,2989,26.9,2010,2026,4.2,Q2,"CHEMISTRY, MULTIDISCIPLINARY",
11,JOURNAL OF CHROMATOGRAPHY B: ANALYTICAL TECHNOLOGIES IN THE BIOMEDICAL AND LIFE SCIENCES,103,2120,20.6,2006,2026,2.8,Q2,"CHEMISTRY, ANALYTICAL",
12,XENOBIOTICA,103,2458,23.9,2007,2026,1.3,Q4,TOXICOLOGY,
13,DRUG METABOLISM AND DISPOSITION,84,4135,49.2,2006,2026,4.4,Q1,PHARMACOLOGY & PHARMACY,
14,PHARMACEUTICAL BIOLOGY,81,2117,26.1,2009,2025,3.9,Q1,PHARMACOLOGY & PHARMACY,
15,BMC COMPLEMENTARY AND ALTERNATIVE MEDICINE,79,2520,31.9,2005,2019,3.3,Q1,INTEGRATIVE & COMPLEMENTARY MEDICINE,Renamed to BMC Complementary Medicine and Therapies in 2020
16,FITOTERAPIA,78,2024,25.9,2009,2026,2.5,Q3,PHARMACOLOGY & PHARMACY,
17,PLOS ONE,71,2458,34.6,2008,2026,2.9,Q3,MULTIDISCIPLINARY SCIENCES,
18,JOURNAL OF SEPARATION SCIENCE,70,894,12.8,2011,2025,2.8,Q2,"CHEMISTRY, ANALYTICAL",
19,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,66,1943,29.4,2011,2026,4.9,Q1,"CHEMISTRY, MULTIDISCIPLINARY",
20,LATIN AMERICAN JOURNAL OF PHARMACY,64,160,2.5,2011,2022,,,PHARMACOLOGY & PHARMACY,Suspected predatory journal - very low IF
21,CHINESE JOURNAL OF NATURAL MEDICINES,61,1794,29.4,2005,2026,4.0,Q1,INTEGRATIVE & COMPLEMENTARY MEDICINE,
22,EUROPEAN JOURNAL OF DRUG METABOLISM AND PHARMACOKINETICS,59,836,14.2,2005,2025,1.9,Q3,PHARMACOLOGY & PHARMACY,
23,JOURNAL OF PHARMACY AND PHARMACOLOGY,54,1088,20.1,2005,2025,2.8,Q2,PHARMACOLOGY & PHARMACY,
24,SCIENTIFIC REPORTS,50,789,15.8,2012,2026,3.8,Q1,MULTIDISCIPLINARY SCIENCES,
25,BIOMEDICINE AND PHARMACOTHERAPY,48,1758,36.6,2016,2025,6.9,Q1,PHARMACOLOGY & PHARMACY,
26,FOOD AND CHEMICAL TOXICOLOGY,48,2231,46.5,2006,2024,3.9,Q2,FOOD SCIENCE & TECHNOLOGY,
27,CHEMICO-BIOLOGICAL INTERACTIONS,47,1522,32.4,2005,2026,4.7,Q1,BIOCHEMISTRY & MOLECULAR BIOLOGY,
28,CHINESE JOURNAL OF INTEGRATIVE MEDICINE,46,1212,26.3,2009,2026,2.2,Q2,INTEGRATIVE & COMPLEMENTARY MEDICINE,
29,CHINESE MEDICINE,45,1408,31.3,2009,2026,5.3,Q1,INTEGRATIVE & COMPLEMENTARY MEDICINE,
30,PHARMACOLOGICAL RESEARCH - MODERN CHINESE MEDICINE,44,379,8.6,2022,2026,,,,新期刊，暂无分区信息
