herb_canonical_latin,CYP_inhibition,CYP_induction,receptor_synergism,synergistic_efficacy,P-gp_inhibition,absorption_alteration,transporter_modulation,UGT_inhibition,organ_toxicity_modulation,signaling_pathway_modulation,additive_toxicity,receptor_antagonism,P-gp_induction,UGT_induction,antagonistic_efficacy,protein_binding_displacement
Salvia miltiorrhiza,6,7,11,4,10,3,10,1,2,3,1,1,0,0,0,0
Hypericum perforatum,11,39,3,0,0,1,2,0,0,1,0,0,1,0,0,0
Coptis chinensis,15,4,8,2,0,8,6,0,2,2,0,0,1,0,0,0
Schisandra chinensis,21,7,1,2,5,2,0,3,4,2,0,0,0,0,0,0
Glycyrrhiza uralensis,13,5,1,1,1,6,2,9,4,1,0,1,0,2,0,0
Panax ginseng,11,7,2,7,1,1,1,6,3,1,1,2,0,0,0,0
Astragalus membranaceus,9,2,6,7,2,4,1,2,1,3,1,1,0,0,0,0
Curcuma longa,10,4,6,4,3,0,0,0,0,0,1,0,0,0,3,0
Scutellaria baicalensis,5,1,5,3,4,2,3,4,0,1,0,1,0,0,0,0
Ginkgo biloba,3,7,1,0,0,1,5,1,2,1,3,0,0,0,0,1
Camellia sinensis,9,0,2,3,0,2,4,1,0,0,2,1,0,0,0,0
Magnolia officinalis,5,1,4,5,3,2,0,1,0,0,0,0,0,0,0,0
Rheum officinale,5,7,0,0,0,1,2,3,0,1,0,0,2,0,0,0
Panax notoginseng,3,3,3,2,2,5,0,1,0,1,0,0,0,0,0,0
Tripterygium wilfordii,1,0,6,1,5,1,0,3,2,0,0,0,0,0,0,0
multi_source_quercetin,8,0,1,0,2,0,2,1,2,2,1,0,0,0,0,0
Pueraria lobata,3,2,2,2,3,1,0,0,1,2,1,1,0,0,0,0
Andrographis paniculata,13,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0
Epimedium brevicornum,5,1,7,0,0,0,0,2,0,1,0,0,0,0,0,0
Sophora flavescens,4,2,2,3,0,0,1,0,0,2,0,0,0,0,0,0
Paeonia lactiflora,0,2,1,1,2,2,3,0,0,1,0,2,0,0,0,0
Reynoutria multiflora,3,4,0,0,0,0,0,1,4,0,1,0,0,0,0,0
Stephania tetrandra,1,1,4,3,1,0,0,0,0,1,0,2,0,0,0,0
Ligusticum chuanxiong,3,4,2,1,0,1,1,0,0,0,0,0,0,0,0,0
Aconitum carmichaelii,3,3,3,0,1,1,0,0,1,0,0,0,0,0,0,0
Piper nigrum,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Phyllanthus amarus,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Angelica sinensis,2,5,1,0,0,1,0,0,0,0,1,1,0,0,0,0
Allium sativum,0,2,0,2,0,1,1,0,0,1,2,0,1,0,0,0
Marsdenia tenacissima,4,0,2,2,0,0,1,0,0,1,0,0,0,0,0,0
Bufo_bufo_gargarizans,2,0,6,0,1,0,0,0,0,0,0,1,0,0,0,0
Tetradium ruticarpum,1,1,3,0,0,1,2,0,1,0,0,0,0,1,0,0
