cluster_id,CYP_inhibition,CYP_induction,receptor_synergism,synergistic_efficacy,P-gp_inhibition,transporter_modulation,organ_toxicity_modulation,absorption_alteration,signaling_pathway_modulation,UGT_inhibition,additive_toxicity,receptor_antagonism,P-gp_induction,antagonistic_efficacy,UGT_induction,protein_binding_displacement
30,76,27,0,0,2,1,0,0,1,0,0,0,0,0,0,0
11,1,0,31,34,7,1,2,1,11,0,0,2,2,1,0,0
17,6,2,0,2,1,1,27,0,7,0,3,0,1,0,0,0
24,9,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0
23,0,0,5,10,0,0,0,0,0,0,1,0,0,0,0,0
2,10,2,3,5,0,1,0,3,0,0,1,0,0,1,0,0
28,1,0,6,3,0,0,0,0,1,0,0,0,0,0,0,0
32,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
9,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,8,1,0,0,1,5,0,2,0,0,0,0,1,0,0,0
35,0,0,0,0,2,2,0,3,0,0,0,0,0,0,0,0
14,2,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0
6,7,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
5,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0
8,6,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,0,7,1,0,1,0,0,0,0,0,1,0,0,0,0
3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,0,2,0,0,2,5,0,3,0,0,0,0,0,0,0
10,0,0,2,0,0,0,1,0,7,0,0,1,0,0,0,0
27,1,0,0,1,3,2,1,10,0,0,0,0,0,0,0,0
34,1,1,0,0,2,0,0,2,0,0,1,1,0,0,0,0
20,1,0,2,2,0,0,2,0,5,0,1,0,0,0,0,0
31,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
13,0,0,4,1,1,0,2,1,0,0,0,0,0,0,0,0
25,1,1,0,0,0,1,2,1,0,0,1,0,0,0,0,0
26,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,1,0,0,1,1,1,2,0,0,1,0,0,0,0
22,1,0,1,0,0,0,1,0,3,0,0,1,0,0,0,0
37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0
16,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
21,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
