cluster_id,Early (2005-2011),Middle (2012-2018),Recent (2019-2025)
0,4,35,92
1,8,15,28
2,28,81,118
3,39,52,17
4,24,31,117
5,60,16,14
6,75,70,75
7,25,12,19
8,5,24,29
9,22,27,14
10,15,19,48
11,144,302,284
12,16,17,66
13,7,29,61
14,68,98,89
15,2,3,70
16,0,3,55
17,65,103,163
18,8,15,31
19,2,2,73
20,0,8,118
21,2,3,54
22,0,2,122
23,25,35,40
24,21,98,32
25,0,19,137
26,49,60,95
27,1,3,188
28,49,44,46
29,15,22,24
30,98,267,147
31,41,44,26
32,8,37,29
33,24,36,43
34,50,163,47
35,25,80,22
36,22,17,21
37,85,39,23
38,80,70,86
